TARGET_deathRate,incidenceRate,medIncome,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctPrivateCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds
161.3,411.6,48127,18.6,33,32.2,33.7,"Kittitas County, Washington",2.34,44.5,6.1,22.4,64,7.5,70.2,31.1,15.3,89.22850915,0.969102455,2.246232585,3.741351531,45.37250044
174.7,349.7,49348,14.6,45,44,45.8,"Klickitat County, Washington",2.62,54.2,24,36.6,NA,9.5,63.7,42.1,21.1,90.9221902,0.739673391,0.465898175,2.747358309,54.44486837
194.8,430.4,44243,17.1,42.8,42.2,43.4,"Lewis County, Washington",2.52,52.7,20.2,41.2,36.1,2.5,58.4,45.3,25,91.74468649,0.782625968,1.16135867,1.362643183,51.02151448
144.4,350.1,49955,12.5,48.3,47.8,48.9,"Lincoln County, Washington",2.34,57.8,14.9,43,40,2,61.6,44,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995
176,505.4,52313,15.6,45.4,43.5,48,"Mason County, Washington",2.58,50.4,29.9,35.1,NA,4.5,60,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959
183.6,404,40189,17.8,51.7,50.8,52.5,"Pacific County, Washington",2.24,52.7,27.3,33.9,36.5,2.2,55.8,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,48.96703297
190.5,459.4,42579,22.3,49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,55.9,34.7,39.4,NA,1.4,55.5,48.1,26.6,91.78747687,0.185070944,0.208204812,0.616903146,53.44699778
177.8,510.9,60397,13.1,35.8,34.7,37,"Pierce County, Washington",2.65,50,15.6,36.3,NA,7.1,69.9,31.4,16.5,74.72966791,6.710854162,6.041472008,2.699184381,50.06357342
121.4,413.3,54721,12.7,54.4,54,54.6,"San Juan County, Washington",2.04,56.8,17.7,32.4,NA,5.2,67.2,41.6,18.3,92.57332665,0.651792429,1.428929556,2.237402858,50.0389206
172.7,499.3,51395,15.7,41,40,42.2,"Skagit County, Washington",2.56,53.6,25.5,33.8,37.6,3.1,64.4,38.1,20.2,85.59027341,0.806079954,1.887835902,6.226590583,52.93732685
188.3,398.9,52673,12.6,45.2,44.9,45.5,"Skamania County, Washington",2.49,54.4,20,43.8,NA,2.4,64.4,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818,52.94771969
165.3,493.4,71890,9.9,37.6,36.6,38.7,"Snohomish County, Washington",2.68,52.1,15.4,33.3,NA,8.3,73.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.252719804,52.72049671
171,440.7,50083,16.3,37.2,35.7,38.7,"Spokane County, Washington",2.45,49.4,10.9,29.3,51.2,8.6,65.2,36.5,21.4,89.03816718,1.827041461,2.315985625,1.03362505,48.18837711
174.2,423.8,43823,19.3,46.2,45.6,46.8,"Stevens County, Washington",2.44,57.2,25.1,35.3,NA,3.9,58.3,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889
169.9,495.9,61653,11.9,38.5,37.1,39.9,"Thurston County, Washington",2.52,52.4,14.8,31.7,46.2,7.4,74.5,30.7,13.7,82.58622199,2.839873174,5.83580425,1.226386727,50.87449211
153.8,463.2,51022,13.9,52.1,51.5,53.1,"Wahkiakum County, Washington",2.31,53.5,37.2,20.8,37.8,4.2,64.7,49.7,20.4,92.96158612,0.123915737,1.140024783,0,53.37995338
