TARGET_deathRate,incidenceRate,medIncome,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctPrivateCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds
163.3,446.6,50703,10.4,43.2,41.8,45.5,"Winnebago County, Iowa",2.2,59.9,6.4,23.3,59.7,10.7,82,32.2,11.1,95.79800264,0.923308837,1.083474656,0.358017712,55.08733624
189.8,404.1,37548,22.4,44.7,43.2,46.6,"Lunenburg County, Virginia",2.48,45.7,21.3,31.4,NA,7.7,58.5,41.3,22.6,61.81716834,34.03408186,0.286669852,1.727982163,47.05491585
139.4,417,66249,9.5,43.1,42.2,44,"Harris County, Georgia",2.79,56.7,14.2,25.1,52.4,8.3,73.7,28.8,13.6,78.50256285,16.30461313,0.89394679,0.430192824,62.51512532
179,474,53186,11.6,39.6,38.6,40.6,"Floyd County, Indiana",2.57,49.9,14.7,32.9,NA,6.7,74.6,26.6,12.5,90.40843215,4.919631094,1.034255599,1.028985507,50.41254125
153.9,453.5494221,65373,10,34.7,34.7,34.6,"Pottawatomie County, Kansas",2.72,62.3,9.2,35,NA,6.5,80.4,23.8,10.7,94.08618785,1.290607735,0.901657459,0.685082873,62.60986328
160.5,453.5494221,56032,8.3,42,40.7,43.4,"Scott County, Kansas",0.0221,65.3,21,18.3,48.3,12.3,84.1,24.7,6.3,95.23133117,0,1.055194805,2.820616883,56.83060109
242.8,498.8,30872,30.4,40.7,39.4,42.9,"Morgan County, Kentucky",2.45,51.9,23.5,40.2,NA,0.9,47.3,51.8,33.7,94.28805481,3.232052428,0.305332142,0.223413762,56.8843594
184.9,453.5494221,43674,17.8,42.5,41.5,43.7,"Clearwater County, Minnesota",2.48,57.1,20.8,37.4,35.6,6.1,57.6,45.2,25.8,86.76873857,0.251371115,0.422760512,0.045703839,55.39300057
182.3,448,50802,12.6,43.4,43.7,43.1,"Washakie County, Wyoming",2.34,56,34.2,52.3,NA,0.2,66.8,32.2,13.9,91.23809524,0.678571429,0.166666667,4.142857143,51.70842825
224.6,560.5,26048,34.9,39.2,37.8,40.7,"Knox County, Kentucky",2.5,47.5,20,45.2,33.8,1.1,40.3,55.5,38.7,97.27435631,1.156905278,0.028293879,0.028293879,45.63246972
156.4,453.5494221,52219,9.6,47.6,46.7,48.5,"Murray County, Minnesota",2.24,61.4,18.9,32.6,NA,9.6,76.2,36.3,13.5,96.7288076,0.351741119,0.433814046,0.621409309,55.47230399
168.7,430.4,44735,15.4,39.1,38.4,39.9,"Marquette County, Michigan",2.38,46.4,6.4,23.3,62.3,8,73.2,32.7,13.9,93.37397532,1.691278743,0.705809239,0.269302477,47.85878973
163.1,375.6,50589,16.1,29.1,28.3,30,"Waller County, Texas",2.94,44.8,9.6,25.2,NA,1.1,55.9,28.8,19.3,68.98379392,25.36480031,0.7721334,1.98050036,54.39477649
195.9,447.5,39528,17.4,42.7,42.2,43.1,"McMinn County, Tennessee",2.58,52.1,14.1,45.6,NA,4.7,62.5,39.6,21.5,92.57608654,4.04906106,0.457090618,0.681826839,53.20852938
150,453.5494221,41797,11.5,49.6,46.4,52.5,"Cheyenne County, Kansas",2.09,61.8,21.4,18.5,NA,12.7,79.7,33.5,9.7,94.7054437,0,1.15585384,3.243847875,52.77337559
209.6,453.3,36942,19,39.7,38.7,40.4,"Warren County, Tennessee",2.51,50.2,16.8,47.8,NA,4.7,55,43.9,27,91.94302137,1.312007997,0.487317256,2.481569411,47.4107656
229.6,461.4,34801,20.8,44.3,43.6,44.8,"Meigs County, Tennessee",2.51,55.7,14.8,63.8,NA,3.1,57,42.7,23.7,96.24445203,1.596107887,0,0,54.91341991
176.3,429.7,48461,17.1,37.5,36.3,38.9,"Harrison County, Texas",2.76,53.3,12.5,34.5,NA,4.3,60.7,31.5,17.9,72.92711203,21.66463405,0.525467877,2.773386332,56.07321838
254.3,501.8,29344,30.6,42.1,40.8,43.3,"Casey County, Kentucky",2.44,58.7,17.9,25.2,56.2,0.7,48.3,44.4,28.9,97.19192679,0.796038611,0.250720822,0.300864987,55.74874687
195.3,439.8,43466,16.6,38.8,37.9,39.8,"Crawford County, Arkansas",2.58,58,15.7,46,36.6,1.6,57.4,38.5,24,90.93897778,1.13202047,1.65349485,1.196799896,56.79732758
